Name,Full Name,Sector,Industry
BEEF,Estika Tata Tiara Tbk.,AGRI,Animal Husbandry
BEKS,Bank Pembangunan Daerah Banten Tbk.,FINANCE,Bank
BELL,Trisula Textile Industries Tbk.,MISC-IND,Textile, Garment
BESS,Batulicin Nusantara Maritim Tbk.,INFRA,Transportation
BEST,Bekasi Fajar Industrial Estate Tbk.,PROPERTY,Property and Real Estates
BFIN,BFI Finance  Indonesia Tbk.,FINANCE,Financial Institution
BGTG,Bank Ganesha Tbk.,FINANCE,Bank
BHAT,Bhakti Multi Artha Tbk.,FINANCE,Insurance
BHIT,MNC Investama Tbk.,TRADE,Investment Company
BIKA,Binakarya Jaya Abadi Tbk.,PROPERTY,Property and Real Estates
BIMA,Primarindo Asia Infrastructure Tbk.,MISC-IND,Footwear
BINA,Bank Ina Perdana Tbk.,FINANCE,Bank
BIPI,Astrindo Nusantara Infrastruktur Tbk.,MINING,Crude Petroleum & Natural Gas Production
BIPP,Bhuwanatala Indah Permai Tbk.,PROPERTY,Property and Real Estates
BIRD,Blue Bird Tbk.,INFRA,Transportation
BISI,BISI International Tbk.,AGRI,Crops
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,FINANCE,Bank
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,FINANCE,Bank
BKDP,Bukit Darmo Property Tbk,PROPERTY,Property and Real Estates
BKSL,Sentul City Tbk.,PROPERTY,Property and Real Estates
BKSW,Bank QNB Indonesia Tbk.,FINANCE,Bank
BLTA,Berlian Laju Tanker Tbk,INFRA,Transportation
BLTZ,Graha Layar Prima Tbk.,TRADE,Advertising, Printing and Media
BLUE,Berkah Prima Perkasa Tbk.,TRADE,Wholesale (Durable Goods)
BM05,Benchmark Bond 05,FINANCE,Others Finance
BM10,Benchmark Bond 10,FINANCE,Others Finance
BMAS,Bank Maspion Indonesia Tbk.,FINANCE,Bank
BMRI,Bank Mandiri (Persero) Tbk.,FINANCE,Bank
BMSR,Bintang Mitra Semestaraya Tbk,TRADE,Wholesale (Durable Goods)
BMTR,Global Mediacom Tbk.,TRADE,Investment Company
BNBA,Bank Bumi Arta Tbk.,FINANCE,Bank
BNBR,Bakrie & Brothers Tbk,TRADE,Investment Company
BNGA,Bank CIMB Niaga Tbk.,FINANCE,Bank
BNII,Bank Maybank Indonesia Tbk.,FINANCE,Bank
BNLI,Bank Permata Tbk.,FINANCE,Bank
BOGA,Bintang Oto Global Tbk.,TRADE,Wholesale (Durable Goods)
BOLA,Bali Bintang Sejahtera Tbk.,TRADE,Others Trade, Service & Investment
BOLT,Garuda Metalindo Tbk.,MISC-IND,Automotive and Components
BORN,Borneo Lumbung Energi & Metal Tbk.,MINING,Coal Mining
BOSS,Borneo Olah Sarana Sukses Tbk.,MINING,Coal Mining
BPFI,Batavia Prosperindo Finance Tbk.,FINANCE,Financial Institution
BPII,Batavia Prosperindo Internasional Tbk.,FINANCE,Others Finance
BPTR,Batavia Prosperindo Trans Tbk.,INFRA,Transportation
BRAM,Indo Kordsa Tbk.,MISC-IND,Automotive and Components
BRAU,Berau Coal Energy Tbk.,MINING,Coal Mining
BRIS,Bank BRIsyariah Tbk.,FINANCE,Bank
BRMS,Bumi Resources Minerals Tbk.,MINING,Metal & Mineral Mining
BRNA,Berlina Tbk.,BASIC-IND,Plastics
BRPT,Barito Pacific Tbk.,BASIC-IND,Chemicals
BSDE,Bumi Serpong Damai Tbk.,PROPERTY,Property and Real Estates
BSIM,Bank Sinarmas Tbk.,FINANCE,Bank
BSSR,Baramulti Suksessarana Tbk.,MINING,Coal Mining
BSWD,Bank Of India Indonesia Tbk.,FINANCE,Bank
BTEK,Bumi Teknokultura Unggul Tbk,CONSUMER,Food and Beverages
BTEL,Bakrie Telecom Tbk.,INFRA,Telecomunication
BTON,Betonjaya Manunggal Tbk.,BASIC-IND,Metaland Allied Products
BTPN,Bank BTPN Tbk.,FINANCE,Bank
BTPS,Bank BTPN Syariah Tbk.,FINANCE,Bank
BUDI,Budi Starch & Sweetener Tbk.,CONSUMER,Food and Beverages
BUKK,Bukaka Teknik Utama Tbk.,INFRA,Construction
BULL,Buana Lintas Lautan Tbk.,INFRA,Transportation
BUMI,Bumi Resources Tbk.,MINING,Coal Mining
BUVA,Bukit Uluwatu Villa Tbk.,TRADE,Restaurant, Hotel & Tourism
BVIC,Bank Victoria International Tbk.,FINANCE,Bank
BWPT,Eagle High Plantations Tbk.,AGRI,Plantation
BYAN,Bayan Resources Tbk.,MINING,Coal Mining
CAKK,Cahayaputra Asa Keramik Tbk.,BASIC-IND,Ceramics, Glass, Porcelain
CAMP,Campina Ice Cream Industry Tbk.,CONSUMER,Food and Beverages
CANI,Capitol Nusantara Indonesia Tbk.,INFRA,Transportation
CARE,Metro Healthcare Indonesia Tbk.,TRADE,Health Care
CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,TRADE,Wholesale (Durable Goods)
CASA,Capital Financial Indonesia Tbk.,FINANCE,Others Finance
CASH,Cashlez Worldwide Indonesia Tbk.,TRADE,Computer and Services
CASS,Cardig Aero Services Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
CBMF,Cahaya Bintang Medan Tbk.,CONSUMER,Houseware
CCSI,Communication Cable Systems Indonesia Tbk.,MISC-IND,Cable
CEKA,Wilmar Cahaya Indonesia Tbk.,CONSUMER,Food and Beverages
CENT,Centratama Telekomunikasi Indonesia Tbk.,INFRA,Construction
CFIN,Clipan Finance Indonesia Tbk.,FINANCE,Financial Institution
CINT,Chitose Internasional Tbk.,CONSUMER,Houseware
CITA,Cita Mineral Investindo Tbk.,MINING,Metal & Mineral Mining
CITY,Natura City Developments Tbk.,PROPERTY,Property and Real Estates
CKRA,Cakra Mineral Tbk.,MINING,Metal & Mineral Mining
CLAY,Citra Putra Realty Tbk.,TRADE,Restaurant, Hotel & Tourism
CLEO,Sariguna Primatirta Tbk.,CONSUMER,Food and Beverages
CLPI,Colorpak Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
CMNP,Citra Marga Nusaphala Persada Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
CMPP,AirAsia Indonesia Tbk.,INFRA,Transportation
CNKO,Exploitasi Energi Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
CNTB,Saham Seri B ( Centex Tbk ),MISC-IND,Textile, Garment
CNTX,Century Textile Industry Tbk.,MISC-IND,Textile, Garment
COCO,Wahana Interfood Nusantara Tbk.,CONSUMER,Food and Beverages
COWL,Cowell Development Tbk.,PROPERTY,Property and Real Estates
CPGT,Citra Maharlika Nusantara Corpora Tbk.,INFRA,Transportation
CPIN,Charoen Pokphand Indonesia Tbk,BASIC-IND,Animal Feed
CPRI,Capri Nusa Satu Properti Tbk.,PROPERTY,Property and Real Estates
CPRO,Central Proteina Prima Tbk.,BASIC-IND,Animal Feed
CSAP,Catur Sentosa Adiprana Tbk.,TRADE,Retail Trade
CSIS,Cahayasakti Investindo Sukses Tbk.,PROPERTY,Building Construction
CSMI,Cipta Selera Murni Tbk.,TRADE,Restaurant, Hotel & Tourism
CSRA,Cisadane Sawit Raya Tbk.,AGRI,Plantation
CTBN,Citra Tubindo Tbk.,BASIC-IND,Metaland Allied Products
CTRA,Ciputra Development Tbk.,PROPERTY,Property and Real Estates
CTTH,Citatah Tbk.,MINING,Land/Stone Quarrying
DADA,Diamond Citra Propertindo Tbk.,PROPERTY,Property and Real Estates
DAJK,Dwi Aneka Jaya Kemasindo Tbk.,BASIC-IND,Pulp and Paper
DART,Duta Anggada Realty Tbk.,PROPERTY,Property and Real Estates
DAYA,Duta Intidaya Tbk.,TRADE,Retail Trade
DEAL,Dewata Freightinternational Tbk.,INFRA,Transportation
DEFI,Danasupra Erapacific Tbk.,FINANCE,Financial Institution
DEWA,Darma Henwa Tbk,MINING,Coal Mining
DFAM,Dafam Property Indonesia Tbk.,TRADE,Restaurant, Hotel & Tourism
DGIK,Nusa Konstruksi Enjiniring Tbk.,PROPERTY,Building Construction
DIGI,Arkadia Digital Media Tbk.,TRADE,Computer and Services
DILD,Intiland Development Tbk.,PROPERTY,Property and Real Estates
DIVA,Distribusi Voucher Nusantara Tbk.,TRADE,Retail Trade
DKFT,Central Omega Resources Tbk.,MINING,Metal & Mineral Mining
DLTA,Delta Djakarta Tbk.,CONSUMER,Food and Beverages
DMAS,Puradelta Lestari Tbk.,PROPERTY,Property and Real Estates
DMMX,Digital Mediatama Maxima Tbk.,TRADE,Advertising, Printing and Media
DMND,Diamond Food Indonesia Tbk.,CONSUMER,Food and Beverages
DNAR,Bank Oke Indonesia Tbk.,FINANCE,Bank
DNET,Indoritel Makmur Internasional Tbk.,TRADE,Computer and Services
DOID,Delta Dunia Makmur Tbk.,MINING,Coal Mining
DPNS,Duta Pertiwi Nusantara Tbk.,BASIC-IND,Chemicals
DPUM,Dua Putra Utama Makmur Tbk.,TRADE,Wholesale (Durable Goods)
DSFI,Dharma Samudera Fishing Industries Tbk.,AGRI,Fishing
DSNG,Dharma Satya Nusantara Tbk.,AGRI,Plantation
DSSA,Dian Swastatika Sentosa Tbk,MINING,Coal Mining
DUCK,Jaya Bersama Indo Tbk.,TRADE,Restaurant, Hotel & Tourism
DUTI,Duta Pertiwi Tbk,PROPERTY,Property and Real Estates
DVLA,Darya-Varia Laboratoria Tbk.,CONSUMER,Pharmaceuticals
DWGL,Dwi Guna Laksana Tbk.,TRADE,Wholesale (Durable Goods)
DYAN,Dyandra Media International Tbk.,TRADE,Others Trade, Service & Investment
EAST,Eastparc Hotel Tbk.,TRADE,Restaurant, Hotel & Tourism
ECII,Electronic City Indonesia Tbk.,TRADE,Retail Trade
EKAD,Ekadharma International Tbk.,BASIC-IND,Chemicals
ELSA,Elnusa Tbk.,MINING,Crude Petroleum & Natural Gas Production
ELTY,Bakrieland Development Tbk.,PROPERTY,Property and Real Estates
EMDE,Megapolitan Developments Tbk.,PROPERTY,Property and Real Estates
EMTK,Elang Mahkota Teknologi Tbk.,TRADE,Advertising, Printing and Media
ENRG,Energi Mega Persada Tbk.,MINING,Crude Petroleum & Natural Gas Production
ENVY,Envy Technologies Indonesia Tbk.,TRADE,Computer and Services
ENZO,Morenzo Abadi Perkasa Tbk.,CONSUMER,Food and Beverages
EPAC,Megalestari Epack Sentosaraya Tbk.,BASIC-IND,Plastics
EPMT,Enseval Putera Megatrading Tbk.,TRADE,Wholesale (Durable Goods)
ERAA,Erajaya Swasembada Tbk.,TRADE,Retail Trade
ERTX,Eratex Djaja Tbk.,MISC-IND,Textile, Garment
ESIP,Sinergi Inti Plastindo Tbk.,BASIC-IND,Plastics
ESSA,Surya Esa Perkasa Tbk.,BASIC-IND,Chemicals
ESTA,Esta Multi Usaha Tbk.,TRADE,Restaurant, Hotel & Tourism
ESTI,Ever Shine Tex Tbk.,MISC-IND,Textile, Garment
ETWA,Eterindo Wahanatama Tbk,BASIC-IND,Chemicals
EXCL,XL Axiata Tbk.,INFRA,Telecomunication
FAST,Fast Food Indonesia Tbk.,TRADE,Restaurant, Hotel & Tourism
FASW,Fajar Surya Wisesa Tbk.,BASIC-IND,Pulp and Paper
FILM,MD Pictures Tbk.,TRADE,Advertising, Printing and Media
FINN,First Indo American Leasing Tbk.,FINANCE,Financial Institution
FIRE,Alfa Energi Investama Tbk.,MINING,Coal Mining
FISH,FKS Multi Agro Tbk.,TRADE,Wholesale (Durable Goods)
FITT,Hotel Fitra International Tbk.,TRADE,Restaurant, Hotel & Tourism
FMII,Fortune Mate Indonesia Tbk,PROPERTY,Property and Real Estates
FOOD,Sentra Food Indonesia Tbk.,CONSUMER,Food and Beverages
FORU,Fortune Indonesia Tbk,TRADE,Advertising, Printing and Media
FORZ,Forza Land Indonesia Tbk.,PROPERTY,Property and Real Estates
FPNI,Lotte Chemical Titan Tbk.,BASIC-IND,Plastics
FREN,Smartfren Telecom Tbk.,INFRA,Telecomunication
FUJI,Fuji Finance Indonesia Tbk.,FINANCE,Financial Institution
GAMA,Aksara Global Development Tbk.,PROPERTY,Property and Real Estates
GDST,Gunawan Dianjaya Steel Tbk.,BASIC-IND,Metaland Allied Products
GDYR,Goodyear Indonesia Tbk.,MISC-IND,Automotive and Components
GEMA,Gema Grahasarana Tbk.,TRADE,Others Trade, Service & Investment
GEMS,Golden Energy Mines Tbk.,MINING,Coal Mining
GGRM,Gudang Garam Tbk.,CONSUMER,Tobacco Manufacturers
GGRP,Gunung Raja Paksi Tbk.,BASIC-IND,Metaland Allied Products
GHON,Gihon Telekomunikasi Indonesia Tbk.,INFRA,Construction
GIAA,Garuda Indonesia (Persero) Tbk.,INFRA,Transportation
GJTL,Gajah Tunggal Tbk.,MISC-IND,Automotive and Components
GLOB,Global Teleshop Tbk.,TRADE,Retail Trade
GLVA,Galva Technologies Tbk.,TRADE,Computer and Services
GMCW,Grahamas Citrawisata Tbk.,TRADE,Restaurant, Hotel & Tourism
GMFI,Garuda Maintenance Facility Aero Asia Tbk.,MISC-IND,Machinery and Heavy Equipment
GMTD,Gowa Makassar Tourism Development Tbk.,PROPERTY,Property and Real Estates
GOLD,Visi Telekomunikasi Infrastruktur Tbk.,INFRA,Construction
GOLL,Golden Plantation Tbk.,AGRI,Plantation
GOOD,Garudafood Putra Putri Jaya Tbk.,CONSUMER,Food and Beverages
GPRA,Perdana Gapuraprima Tbk.,PROPERTY,Property and Real Estates
GREN,Evergreen Invesco Tbk.,TRADE,Wholesale (Durable Goods)
GSMF,Equity Development Investment Tbk.,FINANCE,Others Finance
GTBO,Garda Tujuh Buana Tbk,MINING,Coal Mining
GWSA,Greenwood Sejahtera Tbk.,PROPERTY,Property and Real Estates
GZCO,Gozco Plantations Tbk.,AGRI,Plantation
HADE,Himalaya Energi Perkasa Tbk.,TRADE,Wholesale (Durable Goods)
HDFA,Radana Bhaskara Finance Tbk.,FINANCE,Financial Institution
HDIT,Hensel Davest Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
HDTX,Panasia Indo Resources Tbk.,MISC-IND,Textile, Garment
HEAL,Medikaloka Hermina Tbk.,TRADE,Health Care
HELI,Jaya Trishindo Tbk.,INFRA,Transportation
HERO,Hero Supermarket Tbk.,TRADE,Retail Trade
HEXA,Hexindo Adiperkasa Tbk.,TRADE,Wholesale (Durable Goods)
HITS,Humpuss Intermoda Transportasi Tbk.,INFRA,Transportation
HKMU,HK Metals Utama Tbk.,TRADE,Wholesale (Durable Goods)
HMSP,H.M. Sampoerna Tbk.,CONSUMER,Tobacco Manufacturers
HOKI,Buyung Poetra Sembada Tbk.,CONSUMER,Food and Beverages
HOME,Hotel Mandarine Regency Tbk.,TRADE,Restaurant, Hotel & Tourism
HOMI,Grand House Mulia Tbk.,PROPERTY,Property and Real Estates
HOTL,Saraswati Griya Lestari Tbk.,TRADE,Restaurant, Hotel & Tourism
HRME,Menteng Heritage Realty Tbk.,TRADE,Restaurant, Hotel & Tourism
HRTA,Hartadinata Abadi Tbk.,CONSUMER,Others Consumer Goods
HRUM,Harum Energy Tbk.,MINING,Coal Mining
IATA,Indonesia Transport & Infrastructure Tbk.,INFRA,Transportation
IBFN,Intan Baruprana Finance Tbk.,FINANCE,Financial Institution
IBST,Inti Bangun Sejahtera Tbk.,INFRA,Construction
ICBP,Indofood CBP Sukses Makmur Tbk.,CONSUMER,Food and Beverages
ICON,Island Concepts Indonesia Tbk.,TRADE,Restaurant, Hotel & Tourism
IDPR,Indonesia Pondasi Raya Tbk.,PROPERTY,Building Construction
IFII,Indonesia Fibreboard Industry Tbk.,BASIC-IND,Wood Industries
IFSH,Ifishdeco Tbk.,MINING,Metal & Mineral Mining
IGAR,Champion Pacific Indonesia Tbk.,BASIC-IND,Plastics
IIKP,Inti Agri Resources Tbk,CONSUMER,Food and Beverages
IKAI,Intikeramik Alamasri Industri Tbk.,TRADE,Restaurant, Hotel & Tourism
IKAN,Era Mandiri Cemerlang Tbk.,CONSUMER,Food and Beverages
IKBI,Sumi Indo Kabel Tbk.,MISC-IND,Cable
IMAS,Indomobil Sukses Internasional Tbk.,MISC-IND,Automotive and Components
IMJS,Indomobil Multi Jasa Tbk.,FINANCE,Financial Institution
IMPC,Impack Pratama Industri Tbk.,BASIC-IND,Plastics
INAF,Indofarma Tbk.,CONSUMER,Pharmaceuticals
INAI,Indal Aluminium Industry Tbk.,BASIC-IND,Metaland Allied Products
INCF,Indo Komoditi Korpora Tbk.,BASIC-IND,Others Basic and Chemical
INCI,Intanwijaya Internasional Tbk,BASIC-IND,Chemicals
INCO,Vale Indonesia Tbk.,MINING,Metal & Mineral Mining
INDF,Indofood Sukses Makmur Tbk.,CONSUMER,Food and Beverages
INDO,Royalindo Investa Wijaya Tbk.,PROPERTY,Property and Real Estates
INDR,Indo-Rama Synthetics Tbk.,MISC-IND,Textile, Garment
INDS,Indospring Tbk.,MISC-IND,Automotive and Components
INDX,Tanah Laut Tbk,TRADE,Others Trade, Service & Investment
INDY,Indika Energy Tbk.,MINING,Coal Mining
INKP,Indah Kiat Pulp & Paper Tbk.,BASIC-IND,Pulp and Paper
INOV,Inocycle Technology Group Tbk.,BASIC-IND,Others Basic and Chemical
INPC,Bank Artha Graha Internasional Tbk.,FINANCE,Bank
INPP,Indonesian Paradise Property Tbk.,PROPERTY,Property and Real Estates
INPS,Indah Prakasa Sentosa Tbk.,TRADE,Wholesale (Durable Goods)
INRU,Toba Pulp Lestari Tbk.,BASIC-IND,Pulp and Paper
INTA,Intraco Penta Tbk.,TRADE,Wholesale (Durable Goods)
INTD,Inter Delta Tbk,TRADE,Wholesale (Durable Goods)
INTP,Indocement Tunggal Prakarsa Tbk.,BASIC-IND,Cement
IPCC,Indonesia Kendaraan Terminal Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
IPCM,Jasa Armada Indonesia Tbk.,INFRA,Transportation
IPOL,Indopoly Swakarsa Industry Tbk.,BASIC-IND,Plastics
IPTV,MNC Vision Networks Tbk.,TRADE,Advertising, Printing and Media
IRRA,Itama Ranoraya Tbk.,TRADE,Wholesale (Durable Goods)
ISAT,Indosat Tbk.,INFRA,Telecomunication
ISSP,Steel Pipe Industry of Indonesia Tbk.,BASIC-IND,Metaland Allied Products
ITIC,Indonesian Tobacco Tbk.,CONSUMER,Tobacco Manufacturers
ITMA,Sumber Energi Andalan Tbk.,TRADE,Others Trade, Service & Investment
ITMG,Indo Tambangraya Megah Tbk.,MINING,Coal Mining
ITTG,Leo Investments Tbk.,TRADE,Others Trade, Service & Investment
JAST,Jasnita Telekomindo Tbk.,INFRA,Telecomunication
JAWA,Jaya Agra Wattie Tbk.,AGRI,Plantation
JAYA,Armada Berjaya Trans Tbk.,INFRA,Transportation
JECC,Jembo Cable Company Tbk.,MISC-IND,Cable
JGLE,Graha Andrasentra Propertindo Tbk.,TRADE,Restaurant, Hotel & Tourism
JIHD,Jakarta International Hotels & Development Tbk.,TRADE,Restaurant, Hotel & Tourism
JKON,Jaya Konstruksi Manggala Pratama Tbk.,PROPERTY,Building Construction
JKSW,Jakarta Kyoei Steel Works Tbk.,BASIC-IND,Metaland Allied Products
JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.,FINANCE,Insurance
JPFA,Japfa Comfeed Indonesia Tbk.,BASIC-IND,Animal Feed
JPRS,Jaya Pari Steel Tbk,BASIC-IND,Metaland Allied Products
JRPT,Jaya Real Property Tbk.,PROPERTY,Property and Real Estates
JSKY,Sky Energy Indonesia Tbk.,MISC-IND,Electronics
JSMR,Jasa Marga (Persero) Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
JSPT,Jakarta Setiabudi Internasional Tbk.,TRADE,Restaurant, Hotel & Tourism
JTPE,Jasuindo Tiga Perkasa Tbk.,TRADE,Advertising, Printing and Media
KAEF,Kimia Farma Tbk.,CONSUMER,Pharmaceuticals
KARW,ICTSI Jasa Prima Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
KAYU,Darmi Bersaudara Tbk.,TRADE,Wholesale (Durable Goods)
KBAG,Karya Bersama Anugerah Tbk.,PROPERTY,Property and Real Estates
KBLI,KMI Wire & Cable Tbk.,MISC-IND,Cable
KBLM,Kabelindo Murni Tbk.,MISC-IND,Cable
KBLV,First Media Tbk.,TRADE,Advertising, Printing and Media
KBRI,Kertas Basuki Rachmat Indonesia Tbk.,BASIC-IND,Pulp and Paper
KDSI,Kedawung Setia Industrial Tbk.,BASIC-IND,Pulp and Paper
KEEN,Kencana Energi Lestari Tbk.,INFRA,Energy
KEJU,Mulia Boga Raya Tbk.,CONSUMER,Food and Beverages
KIAS,Keramika Indonesia Assosiasi Tbk.,BASIC-IND,Ceramics, Glass, Porcelain
KICI,Kedaung Indah Can Tbk,CONSUMER,Houseware
KIJA,Kawasan Industri Jababeka Tbk.,PROPERTY,Property and Real Estates
KINO,Kino Indonesia Tbk.,CONSUMER,Cosmetics and Household
KIOS,Kioson Komersial Indonesia Tbk.,TRADE,Retail Trade
KJEN,Krida Jaringan Nusantara Tbk.,INFRA,Transportation
KKGI,Resource Alam Indonesia Tbk.,MINING,Coal Mining
KLBF,Kalbe Farma Tbk.,CONSUMER,Pharmaceuticals
KMDS,Kurniamitra Duta Sentosa Tbk.,TRADE,Wholesale (Durable Goods)
KMTR,Kirana Megatara Tbk.,BASIC-IND,Others Basic and Chemical
KOBX,Kobexindo Tractors Tbk.,TRADE,Wholesale (Durable Goods)
KOIN,Kokoh Inti Arebama Tbk,TRADE,Retail Trade
